ang10,ang11,ang12,ang13,ang14,ang15,ang16,ang17,ang18,ang19,ang20,ang21,ang22,ang23,ang24,ang25
13.16602598,9.711388762,6.917427326,4.70410865,2.999171153,1.737166314,0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078,1.528167684,2.158896531,2.838535471
17.36973764,13.16602598,9.711388762,6.917427326,4.70410865,2.999171153,1.737166314,0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078,1.528167684,2.158896531
22.42048366,17.36973764,13.16602598,9.711388762,6.917427326,4.70410865,2.999171153,1.737166314,0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078,1.528167684
28.42669277,22.42048366,17.36973764,13.16602598,9.711388762,6.917427326,4.70410865,2.999171153,1.737166314,0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078
24.59088286,18.76335506,13.95042903,10.03433419,6.909022197,4.478768522,2.657226826,1.366317208,0.5355481058,0.1011342095,0.005367771315,0.1960266978,0.6258566023,1.252083005,2.036007972,2.94263881
13.09111118,8.755204756,5.436679644,3.010319778,1.36352731,0.3950146284,0.01352804393,0.1368258249,0.6907343218,1.608302012,2.829070001,4.298428074,5.967022792,7.790300572,9.7279436,11.74355802
28.20563573,21.32743931,15.67304381,11.10001735,7.480374404,4.698930752,2.652018413,1.246148283,0.3970263254,0.02852576472,0.07192505896,0.465102105,1.151897923,2.081524745,3.208078587,4.490013302
49.54372876,39.82743138,31.56376743,24.59088286,18.76335506,13.95042903,10.03433419,6.909022197,4.478768522,2.657226826,1.366317208,0.5355481058,0.1011342095,0.005367771315,0.1960266978,0.6258566023
39.82743138,31.56376743,24.59088286,18.76335506,13.95042903,10.03433419,6.909022197,4.478768522,2.657226826,1.366317208,0.5355481058,0.1011342095,0.005367771315,0.1960266978,0.6258566023,1.252083005
31.56376743,24.59088286,18.76335506,13.95042903,10.03433419,6.909022197,4.478768522,2.657226826,1.366317208,0.5355481058,0.1011342095,0.005367771315,0.1960266978,0.6258566023,1.252083005,2.036007972
15.67304381,11.10001735,7.480374404,4.698930752,2.652018413,1.246148283,0.3970263254,0.02852576472,0.07192505896,0.465102105,1.151897923,2.081524745,3.208078587,4.490013302,5.889782997,7.373463089
0.1100042286,0.07021052473,0.6927204249,1.88100706,3.548287565,5.616424824,8.015151436,10.68105592,13.55700579,16.59148838,19.73801889,22.95474454,26.2038042,29.45110807,32.66593593,35.82055194
3.010319778,1.36352731,0.3950146284,0.01352804393,0.1368258249,0.6907343218,1.608302012,2.829070001,4.298428074,5.967022792,7.790300572,9.7279436,11.74355802,13.80428737,15.88044269,17.94531246
4.698930752,2.652018413,1.246148283,0.3970263254,0.02852576472,0.07192505896,0.465102105,1.151897923,2.081524745,3.208078587,4.490013302,5.889782997,7.373463089,8.910388061,10.47293087,12.03617009
6.909022197,4.478768522,2.657226826,1.366317208,0.5355481058,0.1011342095,0.005367771315,0.1960266978,0.6258566023,1.252083005,2.036007972,2.94263881,3.940333434,5.000549276,6.097533311,7.208126231
221.5242245,236.2338183,250.6238627,264.6539563,278.2885884,291.4963803,304.2494935,316.5236303,328.2968981,339.5501834,350.2666516,360.4312621,370.0310363,379.0543586,387.4911691,395.3324524
1.876625324,3.352942879,5.144678965,7.193037896,9.444958225,11.85252084,14.37252256,16.9658739,19.59733305,22.23511165,24.85049731,27.41769405,29.91344365,32.31689851,34.60932311,36.77412168
1.366317208,0.5355481058,0.1011342095,0.005367771315,0.1960266978,0.6258566023,1.252083005,2.036007972,2.94263881,3.940333434,5.000549276,6.097533311,7.208126231,8.311509693,9.389119543,10.42429843
2.999171153,1.737166314,0.8588376199,0.3105286509,0.04363461748,0.01415270666,0.1822329481,0.5118145299,0.9702788078,1.528167684,2.158896531,2.838535471,3.545571888,4.260785498,4.966962003,5.648908793
11.00923052,8.565777317,6.539532557,4.879190648,3.538292111,2.474682899,1.65016597,1.030169555,0.5834045003,0.2816229713,0.0993539527,0.01369627776,0.004117406803,0.05228915159,0.1419355266,0.2586955412
8.565777317,6.539532557,4.879190648,3.538292111,2.474682899,1.65016597,1.030169555,0.5834045003,0.2816229713,0.0993539527,0.01369627776,0.004117406803,0.05228915159,0.1419355266,0.2586955412,0.3900101222
6.539532557,4.879190648,3.538292111,2.474682899,1.65016597,1.030169555,0.5834045003,0.2816229713,0.0993539527,0.01369627776,0.004117406803,0.05228915159,0.1419355266,0.2586955412,0.3900101222,0.5250255769
10.29696866,8.300361813,6.620907875,5.219341691,4.060114928,3.111022908,2.342986192,1.729763193,1.247758473,0.8757833614,0.5949527258,0.3884488933,0.2414531095,0.1409943141,0.07585260324,0.03647880838
15.06243152,12.76713285,10.78851741,9.090060302,7.638641317,6.404349412,5.360172434,4.481820667,3.747449316,3.1376163,2.63496226,2.224210678,1.891978506,1.62667963,1.418467334,1.259093151
6.620907875,5.219341691,4.060114928,3.111022908,2.342986192,1.729763193,1.247758473,0.8757833614,0.5949527258,0.3884488933,0.2414531095,0.1409943141,0.07585260324,0.03647880838,0.01490674965,0.004708536202
10.78851741,9.090060302,7.638641317,6.404349412,5.360172434,4.481820667,3.747449316,3.1376163,2.63496226,2.224210678,1.891978506,1.62667963,1.418467334,1.259093151,1.141946085,1.061879996
9.090060302,7.638641317,6.404349412,5.360172434,4.481820667,3.747449316,3.1376163,2.63496226,2.224210678,1.891978506,1.62667963,1.418467334,1.259093151,1.141946085,1.061879996,1.015293934
